year,quarter,state,district,count,amount
2019,Q3,West Bengal,Paschim Medinipur,2347260,2190157100.6562915
2019,Q4,West Bengal,Kolkata,21917627,26475748918.32508
2019,Q4,West Bengal,North Twenty Four Parganas,10387653,10930067930.509941
2019,Q4,West Bengal,Purba Bardhaman,9422447,6518176227.12306
2019,Q4,West Bengal,Bankura,6055533,1977857278.9550972
2019,Q4,West Bengal,Murshidabad,5467828,4214583776.974844
2019,Q4,West Bengal,Paschim Bardhaman,5025410,4100414909.372712
2019,Q4,West Bengal,Hooghly,4540564,3763712816.9060802
2019,Q4,West Bengal,Birbhum,4269094,1949145295.0043097
2019,Q4,West Bengal,Paschim Medinipur,4095923,2924786112.5345197
2019,Q4,West Bengal,Purba Medinipur,3988434,3949509409.870963
2019,Q1,West Bengal,Kolkata,9807639,12332944237.04475
2019,Q1,West Bengal,North Twenty Four Parganas,6016538,6234416494.557014
2019,Q1,West Bengal,Birbhum,5081745,6063627232.544631
2019,Q1,West Bengal,Murshidabad,2701331,2435341320.8521204
2019,Q1,West Bengal,Purba Bardhaman,2576757,2102277082.1985483
2019,Q1,West Bengal,Hooghly,2488635,2045644142.3086185
2019,Q1,West Bengal,South Twenty Four Parganas,2381496,2207352520.777785
2019,Q1,West Bengal,Purba Medinipur,2175167,2426138102.1437855
2019,Q1,West Bengal,Paschim Medinipur,2056170,1976806857.5443428
2019,Q1,West Bengal,Nadia,1878230,1674723468.0591764
2024,Q4,Uttarakhand,Dehradun,56035091,59151522772.0
2024,Q4,Uttarakhand,Haridwar,43649342,49025452513.0
2024,Q4,Uttarakhand,Udham Singh Nagar,32482654,38200426492.0
2024,Q4,Uttarakhand,Nainital,14922619,17847877397.0
2024,Q4,Uttarakhand,Tehri Garhwal,4990201,5920375593.0
2024,Q4,Uttarakhand,Pauri Garhwal,4973291,5931576893.0
2024,Q4,Uttarakhand,Almora,2830020,3704104601.0
2024,Q4,Uttarakhand,Pithoragarh,2801487,3601619131.0
2024,Q4,Uttarakhand,Chamoli,2393913,3242892836.0
2024,Q4,Uttarakhand,Rudraprayag,1769796,2533367447.0
2024,Q3,Uttarakhand,Dehradun,51761522,53510338159.0
2024,Q3,Uttarakhand,Haridwar,42630688,45147651446.0
2024,Q3,Uttarakhand,Udham Singh Nagar,29488911,32599319226.0
2024,Q3,Uttarakhand,Nainital,13321914,15266161986.0
2024,Q3,Uttarakhand,Tehri Garhwal,4483138,5125283761.0
2024,Q3,Uttarakhand,Pauri Garhwal,4477412,5057856512.0
2024,Q3,Uttarakhand,Almora,2507981,3111178340.0
2024,Q3,Uttarakhand,Pithoragarh,2472144,3067895445.0
2024,Q3,Uttarakhand,Chamoli,2327526,3037426040.0
2024,Q3,Uttarakhand,Rudraprayag,1775118,2332372421.0
2024,Q2,Uttarakhand,Dehradun,50001086,52510298340.0
2024,Q2,Uttarakhand,Haridwar,40518491,46082097336.0
2024,Q2,Uttarakhand,Udham Singh Nagar,28220356,32541472685.0
2024,Q2,Uttarakhand,Nainital,13535672,15999289259.0
2024,Q2,Uttarakhand,Pauri Garhwal,5762982,6639623117.0
2024,Q2,Uttarakhand,Tehri Garhwal,5352520,6328714557.0
2024,Q2,Uttarakhand,Almora,2914301,3581415962.0
2024,Q2,Uttarakhand,Pithoragarh,2689259,3315280510.0
2024,Q2,Uttarakhand,Chamoli,2560338,3556189985.0
2024,Q2,Uttarakhand,Rudraprayag,2376255,3862388802.0
2024,Q1,Uttarakhand,Dehradun,40726888,45315248648.0
2024,Q1,Uttarakhand,Haridwar,31584263,39476373389.0
2024,Q1,Uttarakhand,Udham Singh Nagar,23428419,30266800896.0
2024,Q1,Uttarakhand,Nainital,10078090,12889542997.0
2024,Q1,Uttarakhand,Pauri Garhwal,4041114,4914222910.0
2024,Q1,Uttarakhand,Tehri Garhwal,3318263,4074418933.0
2024,Q1,Uttarakhand,Almora,2098477,2762396377.0
2024,Q1,Uttarakhand,Pithoragarh,2010259,2605021991.0
2024,Q1,Uttarakhand,Chamoli,1575954,2089672589.0
2024,Q1,Uttarakhand,Uttarkashi,1273114,1718147542.0
2023,Q1,Uttarakhand,Dehradun,28447368,33916386161.0
2023,Q1,Uttarakhand,Haridwar,18798046,26500543614.0
2023,Q1,Uttarakhand,Udham Singh Nagar,13978521,20542684972.0
2023,Q1,Uttarakhand,Nainital,6645871,9531910281.0
2023,Q1,Uttarakhand,Pauri Garhwal,2750629,3734478564.0
2023,Q1,Uttarakhand,Tehri Garhwal,2246608,3074244887.0
2023,Q1,Uttarakhand,Almora,1388916,2028760785.0
2023,Q1,Uttarakhand,Pithoragarh,1284719,1892055904.0
2023,Q1,Uttarakhand,Chamoli,1029945,1609382133.0
2023,Q1,Uttarakhand,Uttarkashi,839385,1329618478.0
2023,Q2,Uttarakhand,Dehradun,34692859,40261073972.0
2023,Q2,Uttarakhand,Haridwar,24260673,32327305602.0
2023,Q2,Uttarakhand,Udham Singh Nagar,16932356,22588115268.0
2023,Q2,Uttarakhand,Nainital,8645252,11941153554.0
2023,Q2,Uttarakhand,Pauri Garhwal,4018333,5335354696.0
2023,Q2,Uttarakhand,Tehri Garhwal,3701650,5040089669.0
2023,Q2,Uttarakhand,Almora,2020325,2786364746.0
2023,Q2,Uttarakhand,Chamoli,1825969,2983545303.0
2023,Q2,Uttarakhand,Rudraprayag,1800936,3485553463.0
2023,Q2,Uttarakhand,Pithoragarh,1742817,2468595556.0
2023,Q3,Uttarakhand,Dehradun,36594851,40603170022.0
2023,Q3,Uttarakhand,Haridwar,26611336,32455299270.0
2023,Q3,Uttarakhand,Udham Singh Nagar,18606679,23427520009.0
2023,Q3,Uttarakhand,Nainital,8620296,11035263272.0
2023,Q3,Uttarakhand,Pauri Garhwal,3468288,4209599000.0
2023,Q3,Uttarakhand,Tehri Garhwal,2946977,3685184541.0
2023,Q3,Uttarakhand,Almora,1840191,2475467644.0
2023,Q3,Uttarakhand,Pithoragarh,1640048,2330514157.0
2023,Q3,Uttarakhand,Chamoli,1628923,2311170473.0
2023,Q3,Uttarakhand,Rudraprayag,1476972,2139338372.0
2023,Q4,Uttarakhand,Dehradun,39924330,45527971116.0
2023,Q4,Uttarakhand,Haridwar,28637960,36736177867.0
2023,Q4,Uttarakhand,Udham Singh Nagar,21410120,28068932760.0
2023,Q4,Uttarakhand,Nainital,10021918,13092884973.0
2023,Q4,Uttarakhand,Pauri Garhwal,4056147,5117131019.0
2023,Q4,Uttarakhand,Tehri Garhwal,3390834,4296372580.0
2023,Q4,Uttarakhand,Almora,2132117,2880351271.0
2023,Q4,Uttarakhand,Pithoragarh,1905720,2679789715.0
2023,Q4,Uttarakhand,Chamoli,1829681,2641361200.0
2023,Q4,Uttarakhand,Rudraprayag,1556978,2445583289.0
2020,Q1,Uttarakhand,Dehradun,4292172,7855577949.518105
2020,Q1,Uttarakhand,Haridwar,1746548,2829682337.55844
2020,Q1,Uttarakhand,Udham Singh Nagar,1320641,2462031686.668817
2020,Q1,Uttarakhand,Nainital,591916,1012419762.4026623
2020,Q1,Uttarakhand,Pauri Garhwal,265239,428956086.0113152
2020,Q1,Uttarakhand,Tehri Garhwal,200636,365428107.2466619
2020,Q1,Uttarakhand,Almora,158941,262516586.53569758
2020,Q1,Uttarakhand,Pithoragarh,132585,231555480.8832615
2020,Q1,Uttarakhand,Chamoli,122706,211908675.2839394
2020,Q1,Uttarakhand,Uttarkashi,96469,176256181.79746825
2020,Q4,Uttarakhand,Dehradun,7225475,12878001020.781935
2020,Q4,Uttarakhand,Haridwar,3321783,6085979623.74952
2020,Q4,Uttarakhand,Udham Singh Nagar,2363335,4514038446.219884
2020,Q4,Uttarakhand,Nainital,1517073,2922713378.2238545
2020,Q4,Uttarakhand,Pauri Garhwal,683792,1126540354.654028
2020,Q4,Uttarakhand,Tehri Garhwal,562067,938923389.1074793
2020,Q4,Uttarakhand,Almora,448847,655069287.4592458
2020,Q4,Uttarakhand,Pithoragarh,341824,642959649.9234656
2020,Q4,Uttarakhand,Chamoli,334855,608689356.7896259
2020,Q4,Uttarakhand,Uttarkashi,248828,446087898.9016932
2020,Q3,Uttarakhand,Dehradun,4899672,9682445376.09395
2020,Q3,Uttarakhand,Haridwar,2251448,4070826642.206731
2020,Q3,Uttarakhand,Udham Singh Nagar,1570042,2930954022.9558268
2020,Q3,Uttarakhand,Nainital,984746,1918487570.1438391
2020,Q3,Uttarakhand,Pauri Garhwal,441783,734135974.61854
