year,quarter,state,registeredusers,appopens
2021,Q4,Andaman & Nicobar Islands,71780,2112910
2021,Q4,Haryana,12116439,442176987
2021,Q4,Rajasthan,21977202,1185124031
2021,Q4,Ladakh,87057,2665203
2021,Q4,Punjab,6880103,138427499
2021,Q4,Assam,4209591,130600435
2021,Q4,Jharkhand,6596196,284960009
2021,Q4,Odisha,11399235,567351446
2021,Q4,Bihar,17335981,647400838
2021,Q4,Kerala,8473810,213542857
2021,Q4,Karnataka,29459646,1941558513
2021,Q4,Chandigarh,512092,11603954
2021,Q4,Telangana,20917649,1407599392
2021,Q4,Himachal Pradesh,2013747,47670982
2021,Q4,West Bengal,20644527,512335839
2021,Q4,Gujarat,18139201,487846209
2021,Q4,Sikkim,197407,5525552
2021,Q4,Nagaland,259990,6383337
2021,Q4,Mizoram,108405,2094118
2021,Q4,Chhattisgarh,5565481,251752583
2021,Q4,Jammu & Kashmir,1456810,36012148
2021,Q4,Goa,697178,28288254
2021,Q4,Arunachal Pradesh,314944,11230295
2021,Q4,Delhi,12785127,345669353
2021,Q4,Uttarakhand,3460015,110928354
2021,Q3,Puducherry,396609,6899592
2021,Q3,Tamil Nadu,19127440,459826734
2021,Q3,Uttar Pradesh,34151882,803890116
2021,Q3,Madhya Pradesh,17210233,929572924
2021,Q3,Andhra Pradesh,21059898,1258536879
2021,Q3,Tripura,509929,12279146
2021,Q3,Lakshadweep,5287,49127
2021,Q3,Manipur,361749,9743772
2021,Q3,Maharashtra,42581217,1565370852
2021,Q3,Dadra & Nagar Haveli & Daman & Diu,371874,7162734
2021,Q3,Meghalaya,223065,9952956
2021,Q3,Andaman & Nicobar Islands,66982,3121625
2021,Q3,Haryana,11325336,296884105
2021,Q3,Rajasthan,20499465,1429553825
2021,Q3,Ladakh,81210,7099550
2021,Q3,Punjab,6434862,107614155
2021,Q3,Assam,3918480,135288631
2021,Q3,Jharkhand,6151843,230475998
2021,Q3,Odisha,10652490,492879704
2021,Q3,Bihar,16160771,421801379
2021,Q3,Kerala,7949425,116282717
2021,Q3,Karnataka,27614221,1366781087
2021,Q3,Chandigarh,480463,6378807
2021,Q3,Telangana,19615278,1107529197
2021,Q3,Himachal Pradesh,1880626,52970288
2021,Q3,West Bengal,19323278,348588666
2021,Q3,Gujarat,16946761,379987151
2021,Q3,Sikkim,184693,5714565
2021,Q3,Nagaland,241797,8661991
2021,Q3,Mizoram,100647,5385718
2021,Q3,Chhattisgarh,5206084,276486076
2021,Q3,Jammu & Kashmir,1359860,45025197
2021,Q3,Goa,653458,16575111
