year,quarter,state,district,registeredusers,appopens
2023,Q4,West Bengal,Hooghly,1855311,71031013
2023,Q4,West Bengal,Kolkata,3159912,134474132
2023,Q4,West Bengal,Koch Bihar,639234,46647731
2023,Q4,West Bengal,Alipurduar,308491,22586494
2023,Q4,West Bengal,Paschim Bardhaman,1307045,64640169
2023,Q4,West Bengal,Nadia,1603527,67224546
2023,Q4,West Bengal,Birbhum,1013025,52281841
2023,Q4,West Bengal,Purba Medinipur,1589203,69991821
2023,Q4,West Bengal,Maldah,1134600,88292475
2023,Q4,West Bengal,Darjiling,660231,39079247
2023,Q2,West Bengal,South Twenty Four Parganas,1993465,23728863
2023,Q2,West Bengal,Purba Bardhaman,1221383,13040712
2023,Q2,West Bengal,Uttar Dinajpur,632353,19925851
2023,Q2,West Bengal,Kalimpong,58437,7999335
2023,Q2,West Bengal,Murshidabad,1943677,18214280
2023,Q2,West Bengal,Paschim Medinipur,1328693,21381948
2023,Q2,West Bengal,Dakshin Dinajpur,449101,7969043
2023,Q2,West Bengal,Jalpaiguri,410005,19190861
2023,Q2,West Bengal,Purulia,682071,29850554
2023,Q2,West Bengal,North Twenty Four Parganas,4079270,17505304
2023,Q2,West Bengal,Bankura,999031,24286321
2023,Q2,West Bengal,Jhargram,192645,14039419
2023,Q2,West Bengal,Howrah,1546777,4225701
2023,Q2,West Bengal,Hooghly,1717832,8270519
2023,Q2,West Bengal,Kolkata,2941189,7022371
2023,Q2,West Bengal,Koch Bihar,589504,22772722
2023,Q2,West Bengal,Alipurduar,284829,14332908
2023,Q2,West Bengal,Paschim Bardhaman,1211919,9906246
2023,Q2,West Bengal,Nadia,1482400,9509833
2023,Q2,West Bengal,Birbhum,934943,12789154
2023,Q2,West Bengal,Purba Medinipur,1468608,12096564
2023,Q2,West Bengal,Maldah,1046132,17662446
2023,Q2,West Bengal,Darjiling,613398,15141713
2023,Q1,West Bengal,South Twenty Four Parganas,1913867,20248010
2023,Q1,West Bengal,Purba Bardhaman,1171416,14024827
