year,quarter,state,district,registeredusers
2023,Q4,Uttarakhand,Pithoragarh,132323
2023,Q4,Uttarakhand,Chamoli,115112
2023,Q4,Uttarakhand,Uttarkashi,92982
2023,Q2,Uttarakhand,Dehradun,1367275
2023,Q2,Uttarakhand,Haridwar,965635
2023,Q2,Uttarakhand,Udham Singh Nagar,825744
2023,Q2,Uttarakhand,Nainital,442626
2023,Q2,Uttarakhand,Pauri Garhwal,222967
2023,Q2,Uttarakhand,Tehri Garhwal,172215
2023,Q2,Uttarakhand,Almora,147376
2023,Q2,Uttarakhand,Pithoragarh,122297
2023,Q2,Uttarakhand,Chamoli,106415
2023,Q2,Uttarakhand,Uttarkashi,85915
2023,Q1,Uttarakhand,Dehradun,1318049
2023,Q1,Uttarakhand,Haridwar,928785
2023,Q1,Uttarakhand,Udham Singh Nagar,792853
2023,Q1,Uttarakhand,Nainital,425816
2023,Q1,Uttarakhand,Pauri Garhwal,213655
2023,Q1,Uttarakhand,Tehri Garhwal,164792
2023,Q1,Uttarakhand,Almora,140885
2023,Q1,Uttarakhand,Pithoragarh,117070
2023,Q1,Uttarakhand,Chamoli,101718
2023,Q1,Uttarakhand,Uttarkashi,82107
2023,Q3,Uttarakhand,Dehradun,1419173
2023,Q3,Uttarakhand,Haridwar,1003648
2023,Q3,Uttarakhand,Udham Singh Nagar,858970
2023,Q3,Uttarakhand,Nainital,460046
2023,Q3,Uttarakhand,Pauri Garhwal,232186
2023,Q3,Uttarakhand,Tehri Garhwal,179437
2023,Q3,Uttarakhand,Almora,153779
2023,Q3,Uttarakhand,Pithoragarh,127530
2023,Q3,Uttarakhand,Chamoli,110883
2023,Q3,Uttarakhand,Uttarkashi,89519
2022,Q4,Uttarakhand,Dehradun,1262999
2022,Q4,Uttarakhand,Haridwar,887967
2022,Q4,Uttarakhand,Udham Singh Nagar,757652
2022,Q4,Uttarakhand,Nainital,407806
2022,Q4,Uttarakhand,Pauri Garhwal,204585
2022,Q4,Uttarakhand,Tehri Garhwal,157634
2022,Q4,Uttarakhand,Almora,134730
2022,Q4,Uttarakhand,Pithoragarh,111983
2022,Q4,Uttarakhand,Chamoli,97308
2022,Q4,Uttarakhand,Uttarkashi,78484
2022,Q3,Uttarakhand,Dehradun,1205785
2022,Q3,Uttarakhand,Haridwar,846066
2022,Q3,Uttarakhand,Udham Singh Nagar,722008
2022,Q3,Uttarakhand,Nainital,389791
2022,Q3,Uttarakhand,Pauri Garhwal,196481
2022,Q3,Uttarakhand,Tehri Garhwal,151445
2022,Q3,Uttarakhand,Almora,129898
2022,Q3,Uttarakhand,Pithoragarh,107498
2022,Q3,Uttarakhand,Chamoli,93488
2022,Q3,Uttarakhand,Uttarkashi,75369
2022,Q1,Uttarakhand,Dehradun,1088710
2022,Q1,Uttarakhand,Haridwar,760173
2022,Q1,Uttarakhand,Udham Singh Nagar,647495
2022,Q1,Uttarakhand,Nainital,351226
2022,Q1,Uttarakhand,Pauri Garhwal,177248
2022,Q1,Uttarakhand,Tehri Garhwal,136364
2022,Q1,Uttarakhand,Almora,117262
2022,Q1,Uttarakhand,Pithoragarh,96837
2022,Q1,Uttarakhand,Chamoli,84165
2022,Q1,Uttarakhand,Uttarkashi,67713
2022,Q2,Uttarakhand,Dehradun,1146386
2022,Q2,Uttarakhand,Haridwar,802321
