year,quarter,state,district,count,amount
2021,Q4,Uttar Pradesh,Gautam Buddha Nagar,4293,5710659.0
2021,Q4,Uttar Pradesh,Basti,572,566352.0
2021,Q4,Uttar Pradesh,Shamli,368,388438.0
2021,Q4,Uttar Pradesh,Maharajganj,333,531627.0
2021,Q4,Uttar Pradesh,Etawah,286,397667.0
2021,Q4,Uttar Pradesh,Etah,174,182692.0
2021,Q4,Uttar Pradesh,Banda,110,128709.0
2021,Q4,Uttar Pradesh,Bijnor,965,1019601.0
2021,Q4,Uttar Pradesh,Hardoi,228,373478.0
2021,Q4,Uttar Pradesh,Balrampur,109,245526.0
2021,Q4,Uttar Pradesh,Amroha,286,521767.0
2021,Q4,Uttar Pradesh,Pilibhit,115,182624.0
2021,Q4,Uttar Pradesh,Mainpuri,207,267670.0
2021,Q4,Uttar Pradesh,Kanpur Dehat,171,247224.0
2021,Q4,Uttar Pradesh,Jaunpur,579,871424.0
2021,Q4,Uttar Pradesh,Kaushambi,206,191092.0
2021,Q4,Uttar Pradesh,Hapur,441,790289.0
2021,Q4,Uttar Pradesh,Hamirpur,106,162650.0
2021,Q4,Uttar Pradesh,Meerut,1601,2421444.0
2021,Q4,Uttar Pradesh,Mathura,659,885506.0
2021,Q4,Uttar Pradesh,Chitrakoot,90,102249.0
2021,Q4,Uttar Pradesh,Lalitpur,127,183668.0
2021,Q4,Uttar Pradesh,Mau,307,489391.0
2021,Q4,Uttar Pradesh,Mirzapur,291,473668.0
2021,Q4,Uttar Pradesh,Bulandshahr,658,975652.0
2021,Q4,Uttar Pradesh,Gonda,272,403785.0
2021,Q4,Uttar Pradesh,Jhansi,646,883293.0
2021,Q4,Uttar Pradesh,Chandauli,251,364193.0
2021,Q4,Uttar Pradesh,Bhadohi,238,283900.0
2021,Q4,Uttar Pradesh,Pratapgarh,408,689101.0
2021,Q4,Uttar Pradesh,Saharanpur,810,1172343.0
2021,Q4,Uttar Pradesh,Bara Banki,244,400933.0
2021,Q4,Uttar Pradesh,Bareilly,968,1132558.0
2021,Q4,Uttar Pradesh,Sitapur,273,405795.0
2021,Q4,Uttar Pradesh,Sultanpur,335,536950.0
2021,Q4,Uttar Pradesh,Agra,1238,1610714.0
2021,Q4,Uttar Pradesh,Fatehpur,318,507428.0
2021,Q4,Uttar Pradesh,Rae Bareli,310,423265.0
2021,Q4,Uttar Pradesh,Firozabad,322,449368.0
2021,Q4,Uttar Pradesh,Kheri,288,416250.0
2021,Q4,Uttar Pradesh,Gorakhpur,1230,1790715.0
2021,Q4,Uttar Pradesh,Unnao,463,571428.0
2021,Q4,Uttar Pradesh,Prayagraj,1599,2221711.0
2021,Q4,Uttar Pradesh,Sonbhadra,496,576506.0
2021,Q4,Uttar Pradesh,Ghazipur,604,824427.0
2021,Q4,Uttar Pradesh,Farrukhabad,185,283615.0
2021,Q4,Uttar Pradesh,Kannauj,116,158569.0
2021,Q4,Uttar Pradesh,Azamgarh,804,1053342.0
2021,Q4,Uttar Pradesh,Ayodhya,361,504210.0
2021,Q4,Uttar Pradesh,Deoria,412,708131.0
2021,Q4,Uttar Pradesh,Ghaziabad,4654,5977135.0
2021,Q1,Uttar Pradesh,Amethi,127,128262.0
2021,Q1,Uttar Pradesh,Siddharthnagar,132,81962.0
2021,Q1,Uttar Pradesh,Auraiya,105,81602.0
2021,Q1,Uttar Pradesh,Sambhal,107,100413.0
2021,Q1,Uttar Pradesh,Kanpur Nagar,1252,851804.0
2021,Q1,Uttar Pradesh,Aligarh,423,316086.0
2021,Q1,Uttar Pradesh,Mahoba,61,41257.0
2021,Q1,Uttar Pradesh,Lucknow,1660,1301902.0
2021,Q1,Uttar Pradesh,Sant Kabeer Nagar,138,83030.0
2021,Q1,Uttar Pradesh,Hathras,130,86056.0
2021,Q1,Uttar Pradesh,Budaun,108,83738.0
2021,Q1,Uttar Pradesh,Moradabad,587,305679.0
2021,Q1,Uttar Pradesh,Kushinagar,316,187446.0
2021,Q1,Uttar Pradesh,Baghpat,208,178560.0
2021,Q1,Uttar Pradesh,Shahjahanpur,158,139413.0
2021,Q1,Uttar Pradesh,Muzaffarnagar,332,244963.0
2021,Q1,Uttar Pradesh,Ambedkar Nagar,146,131875.0
2021,Q1,Uttar Pradesh,Bahraich,127,106568.0
2021,Q1,Uttar Pradesh,Jalaun,139,93053.0
2021,Q1,Uttar Pradesh,Rampur,125,127531.0
2021,Q1,Uttar Pradesh,Ballia,257,217592.0
2021,Q1,Uttar Pradesh,Shravasti,24,12818.0
2021,Q1,Uttar Pradesh,Kasganj,54,53501.0
2021,Q1,Uttar Pradesh,Varanasi,739,448948.0
2021,Q1,Uttar Pradesh,Gautam Buddha Nagar,2704,1750483.0
2021,Q1,Uttar Pradesh,Basti,209,143349.0
2021,Q1,Uttar Pradesh,Shamli,244,200342.0
2021,Q1,Uttar Pradesh,Maharajganj,156,112488.0
2021,Q1,Uttar Pradesh,Etawah,172,116084.0
2021,Q1,Uttar Pradesh,Etah,95,58516.0
2021,Q1,Uttar Pradesh,Banda,98,67712.0
2021,Q1,Uttar Pradesh,Bijnor,292,284039.0
2021,Q1,Uttar Pradesh,Hardoi,163,120170.0
